Category,Default 24X24,Icon Name,Small 20X20,Icon Name S,Large 30X30,Icon Name L,XSmall 16X16,Icon Name XS,XLarge 60X60,con Name XL,Sizes,Type
Toggle,,VisibleFill,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/EyeFillS.svg,VisibleFillSmall,,,,,,,Small 20X20,Fill
Toggle,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/LikeM.svg,LikeHeart,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/LikeS.svg,LikeHeartSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/LikeL.svg,LikeHeartLarge,,,,,"Large 30X30, Medium 24X24, Small 20X20",Outline
Toggle,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/LikeFillM.svg,LikeHeartFill,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/LikeFillS.svg,LikeHeartFillSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/LikeHeartFill_Large__30X30.svg,LikeHeartLarge,,,,,Medium 24X24,Fill
Toggle,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/LockM.svg,Lock,,,,,,,,,Medium 24X24,Outline
Toggle,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/LockFillM.svg,LockFill,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/LockFill_Small_20X20.svg,lockFillSmall,,,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/LockFill_XSmall_16X16.svg,LockFillXSmall,,,Medium 24X24,Fill
Toggle,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/AnswersM.svg,Select,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/AnswersS.svg,SelectSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/AnswersL.svg,SelectLarge,,,,,"Large 30X30, Medium 24X24, Small 20X20",Outline
Toggle,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/UnlockM.svg,Unlock,,,,,,,,,Medium 24X24,Outline
Toggle,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/UnlockFillM.svg,UnlockFill,,,,,,,,,Medium 24X24,Fill
Toggle,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/EyeM.svg,Visible,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/EyeS.svg,VisibleSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/EyeL.svg,VisibleLarge,,,,,"Large 30X30, Medium 24X24, Small 20X20",Outline
Toggle,,SelectFill,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/CheckCirclesS.svg,SelectFillSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/CheckCircleL.svg,SelectFillLarge,,,,,"Large 30X30, Small 20X20",Fill
